  10 suspiil	stva
   1 Dharmy	a
   1 Derzhavno	oriiientovana
   1 Derzhavno	kapiitaliistichnij
   1 Derzhavnij	kapiitaliizm
   1 Derzhavnic	kij
   1 Derzhava	v
   1 Derzhava	biil
   1 Derzhava	abo
   1 Demokratichnij	S
   1 Decentraliizovanij	planovij
   1 Debor	komuniisti
   1 De	Leon
   1 Daniilom	Irbitsom
   1 Daniiel	De
   1 Dahal	Syudi
   1 Czedun	hodzhayizm
   1 Ciikavim	variiantom
   1 Cerkvu	v
   1 Ce	vipravdovuiet
   1 Ce	shiroke
   1 CHyapase	vikoristovuyut
   1 CHilii	priprezidentii
   1 CHerchiil	pravliinnya
   1 CHe	Gevara
   1 CHaves	sociialiizm
   1 CHastina	pershogo
   1 CHastina	drugogo
   1 Bros	Tiito
   1 Borisom	G3udzyakom
   1 Bezperechno	ekosociialiizm
   1 Beniito	Mussoliinii
   1 Baasizm	ta
   1 Avtoritarnij	S
   1 Avtoritarizm	v
   1 Avtora	riich
   1 Avtor	yak
   1 Avtor	vstavit
   1 Avtor	proponuie
   1 Avtor	nadiiiet
   1 Avtor	na
   1 Avtor	23
   1 Avtor	02
   1 Antoniya	Vozniknovenie
   1 Antoniio	Negrii
   1 Antireliigiijnij	viin
   1 Andriij	Dmitruk
   1 Anarhiizm	yak
   1 Anarhiists	kij
   1 Amerika	Pershij
   1 Ale	narazii
   1 Ale	dosit
   1 Al	iende
   1 Afrikans	kij
   1 Aflyak	zelenij
   1 Adler	lyuksemburgiizm
   1 Absolyutna	biil
   1 A	tak
   1 A	ot
   1 73	V
   1 5	Tradiciijna
   1 5	Afrikans
   1 49	V
   1 4	komentarii
   1 4	S
   1 4	Ne
   1 4	IInformaciijnij
   1 4	Dmitruk
   1 3	sche
   1 3	S
   1 3	Proekt
   1 3	Post
   1 3	Dmitruk
   1 3	Demokratichnij
   1 27	05
   1 23	viidobrazhaie
   1 23	18
   1 23	04
   1 2018	o
   1 2015	o
   1 2014	unnamed
   1 2	Vlasne
   1 2	Rinkovij
   1 2	Reliigiijnij
   1 2	Pravij
   1 2	Ne
   1 2	Mikola
   1 2	IIndustriial
   1 2	Fabiians
   1 2	Evolyuciijnij
   1 2	Ekologiichno
   1 2	Avtoritarnij
   1 2	Anarhiists
   1 1970	73
   1 19	menii
   1 18	V
   1 18	49
   1 14	23
   1 14	19
   1 100	Golovna
   1 1	scho
   1 1	Totaliitarnij
   1 1	Revolyuciijnij
   1 1	Planovij
   1 1	Nereliigiijnij
   1 1	Neekologiichnij
   1 1	Mikola
   1 1	Logiichnij
   1 1	Liivij
   1 1	Komuniistichnij
   1 1	IInternaciional
   1 1	Doiindustriial
   1 1	Derzhavnic
   1 05	2014
   1 04	2018
   1 04	2015
   1 02	04
